timestamp,open,low,high,close,volume,code
2022-11-24 09:00:00,1810,1800,1820,1815,0,ADMR
2022-11-24 09:01:00,1820,1815,1820,1815,25100,ADMR
2022-11-24 09:02:00,1815,1815,1820,1815,455600,ADMR
2022-11-24 09:03:00,1815,1805,1815,1805,2294300,ADMR
2022-11-24 09:04:00,1800,1800,1805,1805,2004200,ADMR
2022-11-24 09:05:00,1800,1800,1805,1805,54900,ADMR
2022-11-24 09:06:00,1805,1805,1805,1805,308600,ADMR
2022-11-24 09:07:00,1810,1805,1810,1810,18000,ADMR
2022-11-24 09:08:00,1810,1805,1810,1805,45600,ADMR
2022-11-24 09:09:00,1810,1805,1810,1810,17700,ADMR
2022-11-24 09:10:00,1810,1805,1810,1810,438600,ADMR
2022-11-24 09:11:00,1810,1805,1810,1805,626900,ADMR
2022-11-24 09:12:00,1810,1805,1810,1810,515900,ADMR
2022-11-24 09:13:00,1810,1805,1810,1810,54800,ADMR
2022-11-24 09:14:00,1805,1805,1810,1810,125500,ADMR
2022-11-24 09:15:00,1810,1810,1810,1810,114400,ADMR
2022-11-24 09:16:00,1815,1810,1815,1815,41000,ADMR
2022-11-24 09:17:00,1810,1810,1815,1810,52500,ADMR
2022-11-24 09:18:00,1815,1810,1815,1815,26500,ADMR
2022-11-24 09:19:00,1815,1810,1815,1810,32600,ADMR
2022-11-24 09:20:00,1815,1815,1815,1815,48400,ADMR
2022-11-24 09:21:00,1815,1810,1815,1815,47800,ADMR
2022-11-24 09:22:00,1815,1810,1820,1820,281100,ADMR
2022-11-24 09:23:00,1820,1815,1820,1815,79500,ADMR
2022-11-24 09:24:00,1815,1815,1820,1820,7500,ADMR
2022-11-24 09:25:00,1820,1815,1820,1815,120900,ADMR
2022-11-24 09:26:00,1820,1815,1820,1815,148000,ADMR
2022-11-24 09:27:00,1815,1810,1815,1815,8500,ADMR
2022-11-24 09:28:00,1815,1815,1815,1815,40000,ADMR
2022-11-24 09:29:00,1815,1810,1815,1810,135700,ADMR
2022-11-24 09:30:00,1815,1815,1820,1820,26700,ADMR
2022-11-24 09:31:00,1820,1815,1820,1815,41100,ADMR
2022-11-24 09:32:00,1815,1810,1815,1815,46400,ADMR
2022-11-24 09:33:00,1815,1815,1820,1815,86400,ADMR
2022-11-24 09:34:00,1815,1810,1815,1810,11700,ADMR
2022-11-24 09:35:00,1810,1810,1815,1810,10800,ADMR
2022-11-24 09:36:00,1810,1810,1810,1810,0,ADMR
2022-11-24 09:37:00,1815,1810,1815,1810,36600,ADMR
2022-11-24 09:38:00,1810,1810,1810,1810,71200,ADMR
2022-11-24 09:39:00,1815,1810,1815,1810,15800,ADMR
2022-11-24 09:40:00,1815,1815,1815,1815,4900,ADMR
2022-11-24 09:41:00,1815,1810,1815,1810,13700,ADMR
2022-11-24 09:42:00,1810,1810,1815,1815,10400,ADMR
2022-11-24 09:43:00,1815,1810,1815,1810,4000,ADMR
2022-11-24 09:44:00,1815,1810,1815,1810,46800,ADMR
2022-11-24 09:45:00,1815,1810,1815,1810,45300,ADMR
2022-11-24 09:46:00,1810,1810,1815,1815,228900,ADMR
2022-11-24 09:47:00,1815,1810,1815,1810,11000,ADMR
2022-11-24 09:48:00,1810,1810,1815,1810,169600,ADMR
2022-11-24 09:49:00,1815,1810,1815,1815,3500,ADMR
2022-11-24 09:50:00,1815,1810,1815,1810,82800,ADMR
2022-11-24 09:51:00,1815,1810,1815,1810,45400,ADMR
2022-11-24 09:52:00,1810,1810,1815,1815,87200,ADMR
2022-11-24 09:53:00,1815,1815,1815,1815,22700,ADMR
2022-11-24 09:54:00,1815,1810,1815,1810,5000,ADMR
2022-11-24 09:55:00,1815,1810,1815,1810,72300,ADMR
2022-11-24 09:56:00,1815,1810,1815,1815,10300,ADMR
2022-11-24 09:57:00,1810,1810,1815,1815,26200,ADMR
2022-11-24 09:58:00,1815,1810,1815,1815,48800,ADMR
2022-11-24 09:59:00,1810,1810,1815,1815,72300,ADMR
2022-11-24 10:00:00,1815,1810,1815,1815,91700,ADMR
2022-11-24 10:01:00,1815,1815,1815,1815,15600,ADMR
