Date,IDFirm,Volume,Value,Frequency
2022-11-22,AO,357991400.0,129274827600.0,12389.0
2022-11-22,AP,791847600.0,503561294600.0,1678.0
2022-11-22,AR,19769000.0,12062472100.0,831.0
2022-11-22,AT,274531600.0,101673452300.0,13379.0
2022-11-22,AZ,1018941600.0,416240622700.0,46858.0
2022-11-22,BB,55375778.0,197683246000.0,8461.0
2022-11-22,BF,38181900.0,9044817800.0,317.0
2022-11-22,BK,762107546.0,1270764637750.0,63817.0
2022-11-22,BQ,741899600.0,241234093600.0,91860.0
2022-11-22,BR,195913800.0,182586357700.0,17610.0
2022-11-22,BS,8354800.0,2705759500.0,141.0
2022-11-22,CC,1708775800.0,930254135200.0,120179.0
2022-11-22,CD,82298972.0,49993936380.0,4793.0
2022-11-22,CP,2109028600.0,520429166600.0,182529.0
2022-11-22,CS,199411800.0,500179118300.0,24195.0
2022-11-22,DD,510400.0,262595000.0,24.0
2022-11-22,DH,265506994.0,536629739972.0,16344.0
2022-11-22,DM,400.0,778000.0,1.0
2022-11-22,DP,110178600.0,31533710500.0,3185.0
2022-11-22,DR,555798300.0,251165196000.0,33343.0
2022-11-22,DU,45641600.0,10497613400.0,4108.0
2022-11-22,DX,151078268.0,329307848440.0,11446.0
2022-11-22,EL,38771900.0,14679885700.0,1531.0
2022-11-22,EP,1173912300.0,370709533400.0,61626.0
2022-11-22,ES,22181600.0,7372409100.0,735.0
2022-11-22,FO,150000.0,27880000.0,4.0
2022-11-22,FS,767063300.0,344030749000.0,5699.0
2022-11-22,FZ,381062500.0,97049990800.0,13154.0
2022-11-22,GA,34142000.0,15542681300.0,696.0
2022-11-22,GI,22286000.0,2661951000.0,72.0
2022-11-22,GR,625523800.0,278066774500.0,28216.0
2022-11-22,GW,752400.0,5690232000.0,151.0
2022-11-22,HD,1067788400.0,455280189700.0,5802.0
2022-11-22,HP,195260700.0,49103282000.0,8950.0
2022-11-22,ID,209291900.0,49719980800.0,1454.0
2022-11-22,IF,1361176100.0,378648010100.0,18732.0
2022-11-22,IH,373026000.0,219765831900.0,8363.0
2022-11-22,II,552027000.0,89335306500.0,3059.0
2022-11-22,IN,554335500.0,202412784900.0,7402.0
2022-11-22,IP,20367200.0,11875290000.0,1495.0
2022-11-22,IT,8817400.0,4748099400.0,199.0
2022-11-22,IU,113361100.0,53078378700.0,4608.0
2022-11-22,KI,575953000.0,390315273400.0,19031.0
2022-11-22,KK,837398800.0,257866557100.0,54032.0
2022-11-22,KZ,302043700.0,405712308600.0,17248.0
2022-11-22,LG,355673600.0,198170952900.0,22306.0
2022-11-22,LH,443398300.0,140739010100.0,6499.0
2022-11-22,LS,185722700.0,50465691500.0,3970.0
2022-11-22,MG,1795573000.0,408081576600.0,59170.0
2022-11-22,MI,90375200.0,41698575700.0,3483.0
2022-11-22,MK,471831600.0,126634354700.0,32536.0
2022-11-22,MU,29953200.0,5351750800.0,1018.0
2022-11-22,NI,726333100.0,245475452600.0,56196.0
2022-11-22,OD,246757100.0,214682835500.0,22458.0
2022-11-22,OK,6078200.0,1664595300.0,102.0
2022-11-22,PC,75990500.0,31333755800.0,5505.0
2022-11-22,PD,2045045800.0,771106893332.0,204163.0
2022-11-22,PF,135753300.0,32329775900.0,1419.0
2022-11-22,PG,1499387800.0,302400446100.0,13099.0
2022-11-22,PO,558090800.0,287565863900.0,5122.0
2022-11-22,PP,10078700.0,2336305300.0,54.0
2022-11-22,PS,218090900.0,92633414500.0,13282.0
2022-11-22,RB,29252200.0,47324932800.0,332.0
2022-11-22,RF,313917900.0,120921569500.0,5838.0
2022-11-22,RG,97012900.0,32708739600.0,2558.0
2022-11-22,RO,176431100.0,43874997900.0,7045.0
2022-11-22,RS,13156600.0,2913235300.0,201.0
2022-11-22,RX,49662048.0,105286320780.0,6282.0
2022-11-22,SA,153927800.0,48599563000.0,3105.0
2022-11-22,SC,500.0,4437500.0,1.0
2022-11-22,SF,84919400.0,39072851700.0,4714.0
2022-11-22,SH,499326600.0,130560052500.0,20348.0
2022-11-22,SQ,1175842624.0,503350002200.0,30716.0
2022-11-22,SS,4352100.0,3696690700.0,231.0
2022-11-22,TF,106246800.0,30820913000.0,6748.0
2022-11-22,TP,224718600.0,355037680400.0,17182.0
2022-11-22,TS,221269400.0,106996708900.0,5830.0
2022-11-22,XA,295751500.0,107322422900.0,21321.0
2022-11-22,XC,852305800.0,256972803400.0,128420.0
2022-11-22,XL,514615260.0,285027634560.0,59086.0
2022-11-22,YB,849165300.0,253920896600.0,39848.0
2022-11-22,YJ,632155000.0,188044933500.0,15819.0
2022-11-22,YO,3019800.0,2053824200.0,108.0
2022-11-22,YP,4490753754.0,1730326815196.0,347125.0
2022-11-22,YU,1029441758.0,1072293624036.0,60374.0
2022-11-22,ZP,1672772698.0,1424745725176.0,91941.0
2022-11-22,ZR,76943800.0,38769936800.0,5499.0
2022-11-23,AF,20291000.0,6427073800.0,259.0
2022-11-23,AG,412148800.0,273532411100.0,6290.0
2022-11-23,AH,67674900.0,35478714600.0,2087.0
2022-11-23,AI,364224400.0,100707059700.0,6942.0
2022-11-23,AK,1010039784.0,1510847564318.0,87715.0
2022-11-23,AN,295030600.0,113190650200.0,3673.0
2022-11-23,AO,560391700.0,117157014200.0,21634.0
2022-11-23,AP,717567300.0,538756393600.0,1466.0
2022-11-23,AR,49510900.0,10746186300.0,2381.0
2022-11-23,AT,242341100.0,83500739100.0,11489.0
2022-11-23,AZ,1224310240.0,398295674708.0,51104.0
2022-11-23,BB,65847320.0,315932933100.0,9819.0
2022-11-23,BF,14134500.0,6668703800.0,163.0
2022-11-23,BK,929896448.0,1499294635070.0,56256.0
2022-11-23,BQ,866973320.0,301251673870.0,92683.0
2022-11-23,BR,193005300.0,187740312900.0,8078.0
2022-11-23,BS,3310900.0,656589500.0,102.0
2022-11-23,CC,1813896600.0,912654756700.0,121404.0
2022-11-23,CD,49716700.0,23719190100.0,5083.0
2022-11-23,CP,1626192900.0,415204461400.0,151359.0
2022-11-23,CS,263075700.0,400663602400.0,17249.0
2022-11-23,DD,3104500.0,315358800.0,39.0
2022-11-23,DH,399783816.0,585389175024.0,18525.0
2022-11-23,DM,400.0,790000.0,1.0
2022-11-23,DP,71070200.0,25729516000.0,1664.0
2022-11-23,DR,533811000.0,317304915400.0,33148.0
2022-11-23,DU,72898600.0,5295343400.0,714.0
2022-11-23,DX,200239300.0,229701206700.0,12139.0
2022-11-23,EL,19529500.0,9282183100.0,1228.0
2022-11-23,EP,847958300.0,325788116100.0,71040.0
2022-11-23,ES,38508800.0,6830461900.0,696.0
2022-11-23,FO,50000.0,11460000.0,29.0
2022-11-23,FS,848635000.0,330617635400.0,8626.0
2022-11-23,FZ,1036860900.0,145027775700.0,10370.0
2022-11-23,GA,43850900.0,28959685700.0,1193.0
2022-11-23,GI,13496200.0,2227919600.0,57.0
2022-11-23,GR,548903300.0,247473878200.0,26628.0
2022-11-23,GW,313500.0,1496277000.0,112.0
2022-11-23,HD,531716100.0,263642697300.0,6362.0
2022-11-23,HP,244678100.0,62877898500.0,8721.0
2022-11-23,ID,481066000.0,29849044600.0,2924.0
2022-11-23,IF,1405506700.0,368141408200.0,18578.0
2022-11-23,IH,257414500.0,133973440300.0,8409.0
2022-11-23,II,566165500.0,95397017900.0,2204.0
2022-11-23,IN,565000000.0,147474585100.0,9198.0
2022-11-23,IP,30320900.0,15278638100.0,2602.0
2022-11-23,IT,12040400.0,4079625400.0,183.0
2022-11-23,IU,124429700.0,57977958100.0,5249.0
2022-11-23,KI,226904300.0,129496305700.0,9133.0
2022-11-23,KK,820637500.0,237197239600.0,52831.0
2022-11-23,KZ,138981900.0,441541020400.0,17419.0
2022-11-23,LG,488957636.0,254463839896.0,23600.0
2022-11-23,LH,152492600.0,71292862600.0,6220.0
2022-11-23,LS,385686200.0,28860705400.0,8207.0
2022-11-23,MG,2663034300.0,849869304600.0,88136.0
2022-11-23,MI,102611400.0,63013523200.0,3247.0
